
date: 22/10/2018 21:41:03.462	code: Error(get config): 	text: 'interval'
date: 22/10/2018 21:41:04.353	code: Info	text: Dome Server started at port 3350....
date: 22/10/2018 21:41:04.681	code: Info	text: Starting keepalive... (localhost:3330)
date: 22/10/2018 21:41:21.198	code: Info	text: Connected by ('127.0.0.1', 2697) --> command: ping
date: 22/10/2018 21:41:36.231	code: Info	text: Connected by ('127.0.0.1', 2706) --> command: ping
date: 22/10/2018 21:41:51.263	code: Info	text: Connected by ('127.0.0.1', 2714) --> command: ping
date: 22/10/2018 21:42:06.296	code: Info	text: Connected by ('127.0.0.1', 2720) --> command: ping
date: 22/10/2018 21:42:21.328	code: Info	text: Connected by ('127.0.0.1', 2728) --> command: ping
date: 22/10/2018 21:42:36.361	code: Info	text: Connected by ('127.0.0.1', 2733) --> command: ping
date: 22/10/2018 21:42:51.425	code: Info	text: Connected by ('127.0.0.1', 2741) --> command: ping
date: 22/10/2018 21:43:06.457	code: Info	text: Connected by ('127.0.0.1', 2747) --> command: ping
date: 22/10/2018 21:43:21.506	code: Info	text: Connected by ('127.0.0.1', 2755) --> command: ping
date: 22/10/2018 21:43:36.538	code: Info	text: Connected by ('127.0.0.1', 2760) --> command: ping
date: 22/10/2018 21:43:51.571	code: Info	text: Connected by ('127.0.0.1', 2768) --> command: ping
date: 22/10/2018 21:44:06.588	code: Info	text: Connected by ('127.0.0.1', 2774) --> command: ping
date: 22/10/2018 21:44:21.620	code: Info	text: Connected by ('127.0.0.1', 2782) --> command: ping
date: 22/10/2018 21:44:36.653	code: Info	text: Connected by ('127.0.0.1', 2787) --> command: ping
date: 22/10/2018 21:44:51.686	code: Info	text: Connected by ('127.0.0.1', 2794) --> command: ping
date: 22/10/2018 21:45:06.718	code: Info	text: Connected by ('127.0.0.1', 2801) --> command: ping
date: 22/10/2018 21:45:21.751	code: Info	text: Connected by ('127.0.0.1', 2806) --> command: ping
date: 22/10/2018 21:45:36.783	code: Info	text: Connected by ('127.0.0.1', 2814) --> command: ping
date: 22/10/2018 21:45:51.816	code: Info	text: Connected by ('127.0.0.1', 2819) --> command: ping
date: 22/10/2018 21:46:06.849	code: Info	text: Connected by ('127.0.0.1', 2828) --> command: ping
date: 22/10/2018 21:46:21.881	code: Info	text: Connected by ('127.0.0.1', 2833) --> command: ping
date: 22/10/2018 21:46:36.914	code: Info	text: Connected by ('127.0.0.1', 2841) --> command: ping
date: 22/10/2018 21:46:51.931	code: Info	text: Connected by ('127.0.0.1', 2846) --> command: ping
date: 22/10/2018 21:47:06.963	code: Info	text: Connected by ('127.0.0.1', 2855) --> command: ping
date: 22/10/2018 21:47:21.996	code: Info	text: Connected by ('127.0.0.1', 2860) --> command: ping
date: 22/10/2018 21:47:37.029	code: Info	text: Connected by ('127.0.0.1', 2868) --> command: ping
date: 22/10/2018 21:47:52.061	code: Info	text: Connected by ('127.0.0.1', 2873) --> command: ping
date: 22/10/2018 21:48:07.125	code: Info	text: Connected by ('127.0.0.1', 2882) --> command: ping
date: 22/10/2018 21:48:22.173	code: Info	text: Connected by ('127.0.0.1', 2887) --> command: ping
date: 22/10/2018 21:48:37.221	code: Info	text: Connected by ('127.0.0.1', 2895) --> command: ping
date: 22/10/2018 21:48:52.254	code: Info	text: Connected by ('127.0.0.1', 2900) --> command: ping
date: 22/10/2018 21:49:07.271	code: Info	text: Connected by ('127.0.0.1', 2908) --> command: ping
date: 22/10/2018 21:49:22.304	code: Info	text: Connected by ('127.0.0.1', 2914) --> command: ping
date: 22/10/2018 21:49:37.336	code: Info	text: Connected by ('127.0.0.1', 2919) --> command: ping
date: 22/10/2018 21:49:52.369	code: Info	text: Connected by ('127.0.0.1', 2927) --> command: ping
date: 22/10/2018 21:50:07.401	code: Info	text: Connected by ('127.0.0.1', 2933) --> command: ping
date: 22/10/2018 21:50:22.359	code: Info	text: Connected by ('127.0.0.1', 2942) --> command: ping
date: 22/10/2018 21:50:37.392	code: Info	text: Connected by ('127.0.0.1', 2947) --> command: ping
date: 22/10/2018 21:50:52.424	code: Info	text: Connected by ('127.0.0.1', 2955) --> command: ping
date: 22/10/2018 21:51:07.457	code: Info	text: Connected by ('127.0.0.1', 2961) --> command: ping
date: 22/10/2018 21:51:22.489	code: Info	text: Connected by ('127.0.0.1', 2970) --> command: ping
date: 22/10/2018 21:51:37.522	code: Info	text: Connected by ('127.0.0.1', 2975) --> command: ping
date: 22/10/2018 21:51:41.554	code: Info	text: Connected by ('127.0.0.1', 2985) --> command: shutdown
