
date: 04/11/2018 19:16:32.638	code: Info	text: Focus Server started at port 3340....
date: 04/11/2018 19:16:37.764	code: Info	text: Connected by ('127.0.0.1', 3021) --> command: ping
date: 04/11/2018 19:16:37.764	code: Info	text: self.ping()
date: 04/11/2018 19:16:37.764	code: Info	text: 0
date: 04/11/2018 19:16:54.343	code: Info	text: Connected by ('127.0.0.1', 3029) --> command: ping
date: 04/11/2018 19:16:54.343	code: Info	text: self.ping()
date: 04/11/2018 19:16:54.343	code: Info	text: 0
date: 04/11/2018 19:17:10.438	code: Info	text: Connected by ('127.0.0.1', 3044) --> command: ping
date: 04/11/2018 19:17:10.438	code: Info	text: self.ping()
date: 04/11/2018 19:17:10.438	code: Info	text: 0
date: 04/11/2018 19:17:26.877	code: Info	text: Connected by ('127.0.0.1', 3056) --> command: ping
date: 04/11/2018 19:17:26.877	code: Info	text: self.ping()
date: 04/11/2018 19:17:26.877	code: Info	text: 0
date: 04/11/2018 19:18:12.147	code: Info	text: Connected by ('127.0.0.1', 3071) --> command: ping
date: 04/11/2018 19:18:12.147	code: Info	text: self.ping()
date: 04/11/2018 19:18:12.147	code: Info	text: 0
date: 04/11/2018 19:18:57.198	code: Info	text: Connected by ('127.0.0.1', 3090) --> command: ping
date: 04/11/2018 19:18:57.214	code: Info	text: self.ping()
date: 04/11/2018 19:18:57.214	code: Info	text: 0
date: 04/11/2018 19:19:43.546	code: Info	text: Connected by ('127.0.0.1', 3104) --> command: ping
date: 04/11/2018 19:19:43.546	code: Info	text: self.ping()
date: 04/11/2018 19:19:43.546	code: Info	text: 0
date: 04/11/2018 19:20:29.253	code: Info	text: Connected by ('127.0.0.1', 3116) --> command: ping
date: 04/11/2018 19:20:29.253	code: Info	text: self.ping()
date: 04/11/2018 19:20:29.253	code: Info	text: 0
date: 04/11/2018 19:20:50.942	code: Info	text: Connected by ('127.0.0.1', 3125) --> command: ping
date: 04/11/2018 19:20:50.942	code: Info	text: self.ping()
date: 04/11/2018 19:20:50.942	code: Info	text: 0
date: 04/11/2018 19:21:06.741	code: Info	text: Connected by ('127.0.0.1', 3145) --> command: ping
date: 04/11/2018 19:21:06.741	code: Info	text: self.ping()
date: 04/11/2018 19:21:06.741	code: Info	text: 0
date: 04/11/2018 19:21:21.773	code: Info	text: Connected by ('127.0.0.1', 3162) --> command: ping
date: 04/11/2018 19:21:21.773	code: Info	text: self.ping()
date: 04/11/2018 19:21:21.773	code: Info	text: 0
date: 04/11/2018 19:21:36.837	code: Info	text: Connected by ('127.0.0.1', 3183) --> command: ping
date: 04/11/2018 19:21:36.837	code: Info	text: self.ping()
date: 04/11/2018 19:21:36.837	code: Info	text: 0
date: 04/11/2018 19:21:52.260	code: Info	text: Connected by ('127.0.0.1', 3201) --> command: ping
date: 04/11/2018 19:21:52.260	code: Info	text: self.ping()
date: 04/11/2018 19:21:52.260	code: Info	text: 0
date: 04/11/2018 19:22:07.387	code: Info	text: Connected by ('127.0.0.1', 3219) --> command: ping
date: 04/11/2018 19:22:07.387	code: Info	text: self.ping()
date: 04/11/2018 19:22:07.387	code: Info	text: 0
date: 04/11/2018 19:22:52.500	code: Info	text: Connected by ('127.0.0.1', 3236) --> command: ping
date: 04/11/2018 19:22:52.500	code: Info	text: self.ping()
date: 04/11/2018 19:22:52.500	code: Info	text: 0
date: 04/11/2018 19:23:27.769	code: Info	text: Connected by ('127.0.0.1', 3245) --> command: ping
date: 04/11/2018 19:23:27.769	code: Info	text: self.ping()
date: 04/11/2018 19:23:27.769	code: Info	text: 0
date: 04/11/2018 19:23:43.083	code: Info	text: Connected by ('127.0.0.1', 3266) --> command: ping
date: 04/11/2018 19:23:43.083	code: Info	text: self.ping()
date: 04/11/2018 19:23:43.083	code: Info	text: 0
date: 04/11/2018 19:23:58.475	code: Info	text: Connected by ('127.0.0.1', 3283) --> command: ping
date: 04/11/2018 19:23:58.475	code: Info	text: self.ping()
date: 04/11/2018 19:23:58.475	code: Info	text: 0
date: 04/11/2018 19:24:13.742	code: Info	text: Connected by ('127.0.0.1', 3303) --> command: ping
date: 04/11/2018 19:24:13.742	code: Info	text: self.ping()
date: 04/11/2018 19:24:13.742	code: Info	text: 0
