
date: 21/02/2019 18:09:13.698	code: Info	text: Init connection with serial port (COM8:9600)
date: 21/02/2019 18:09:13.776	code: Info	text: Done
date: 21/02/2019 18:09:13.791	code: Info	text: Focus Server started at port 3340....
date: 21/02/2019 18:09:13.994	code: Info	text: Connected by ('127.0.0.1', 2867) --> command: ping
date: 21/02/2019 18:09:13.994	code: Info	text: self.ping()
date: 21/02/2019 18:09:13.994	code: Info	text: OK
date: 21/02/2019 18:09:39.648	code: Info	text: Connected by ('127.0.0.1', 2871) --> command: ping
date: 21/02/2019 18:09:39.648	code: Info	text: self.ping()
date: 21/02/2019 18:09:39.648	code: Info	text: OK
date: 21/02/2019 18:10:27.685	code: Info	text: Connected by ('127.0.0.1', 3568) --> command: ping
date: 21/02/2019 18:10:27.685	code: Info	text: self.ping()
date: 21/02/2019 18:10:27.685	code: Info	text: OK
date: 21/02/2019 18:10:48.040	code: Info	text: Connected by ('127.0.0.1', 3577) --> command: ping
date: 21/02/2019 18:10:48.040	code: Info	text: self.ping()
date: 21/02/2019 18:10:48.040	code: Info	text: OK
date: 21/02/2019 18:11:08.332	code: Info	text: Connected by ('127.0.0.1', 3592) --> command: ping
date: 21/02/2019 18:11:08.332	code: Info	text: self.ping()
date: 21/02/2019 18:11:08.332	code: Info	text: OK
date: 21/02/2019 18:11:27.129	code: Info	text: Connected by ('127.0.0.1', 3601) --> command: ping
date: 21/02/2019 18:11:27.129	code: Info	text: self.ping()
date: 21/02/2019 18:11:27.129	code: Info	text: OK
date: 21/02/2019 18:11:46.347	code: Info	text: Connected by ('127.0.0.1', 3610) --> command: ping
date: 21/02/2019 18:11:46.347	code: Info	text: self.ping()
date: 21/02/2019 18:11:46.347	code: Info	text: OK
date: 21/02/2019 18:12:05.097	code: Info	text: Connected by ('127.0.0.1', 3623) --> command: ping
date: 21/02/2019 18:12:05.097	code: Info	text: self.ping()
date: 21/02/2019 18:12:05.097	code: Info	text: OK
