Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return
25/09/18 18:18:35	OT	VEGA           	 0.5706	 1.0474	10810.4	 9678.8	 0.112002	 0.062470	 0.0346	 0.0331	 0.1689	 0.1864	 0.5984	 0.5428	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:19:05	OT	VEGA           	 0.7140	 1.0469	10891.5	 9688.2	 0.148460	 0.099804	 0.0303	 0.0374	 0.1426	 0.1407	 0.7089	 0.7192	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:19:35	OT	VEGA           	 0.5677	 1.0464	10954.3	 9570.2	 0.113660	 0.060233	 0.0274	 0.0305	 0.1673	 0.1904	 0.6041	 0.5314	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:20:05	OT	VEGA           	 0.5966	 1.0460	10909.2	 9554.5	 0.120076	 0.067436	 0.0288	 0.0356	 0.1619	 0.1779	 0.6245	 0.5688	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:20:35	OT	VEGA           	 0.5397	 1.0455	10809.3	 9706.8	 0.108566	 0.052836	 0.0330	 0.0354	 0.1719	 0.2059	 0.5880	 0.4914	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
25/09/18 18:21:05	OT	VEGA           	 0.5632	 1.0451	11244.1	 9566.3	 0.111289	 0.059812	 0.0411	 0.0433	 0.1693	 0.1911	 0.5969	 0.5295	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:21:35	OT	VEGA           	 0.5186	 1.0446	11017.3	 9611.9	 0.097941	 0.051512	 0.0369	 0.0397	 0.1828	 0.2089	 0.5530	 0.4843	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:22:05	OT	VEGA           	 0.5689	 1.0442	10570.2	 9758.0	 0.095212	 0.072345	 0.0383	 0.0435	 0.1859	 0.1704	 0.5439	 0.5939	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:22:35	OT	VEGA           	 0.5170	 1.0437	11272.1	 9785.2	 0.100292	 0.049440	 0.0442	 0.0392	 0.1801	 0.2140	 0.5612	 0.4727	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:23:05	OT	VEGA           	 0.6182	 1.0433	11132.7	 9593.5	 0.126713	 0.071607	 0.0348	 0.0278	 0.1565	 0.1713	 0.6459	 0.5905	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:23:35	OT	VEGA           	 0.6777	 1.0429	11262.1	 9627.5	 0.147927	 0.083240	 0.0354	 0.0342	 0.1426	 0.1565	 0.7090	 0.6465	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:24:05	OT	VEGA           	 0.5244	 1.0424	11013.7	 9675.6	 0.087568	 0.059955	 0.0299	 0.0313	 0.1952	 0.1905	 0.5177	 0.5311	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:24:35	OT	VEGA           	 0.5681	 1.0420	11015.9	 9496.2	 0.114050	 0.059618	 0.0304	 0.0296	 0.1666	 0.1911	 0.6068	 0.5294	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	199	     0
25/09/18 18:25:05	OT	VEGA           	 0.7967	 1.0416	10981.0	 9678.4	 0.197061	 0.106630	 0.0354	 0.0289	 0.1200	 0.1348	 0.8427	 0.7506	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:25:35	OT	VEGA           	 0.5985	 1.0412	10928.6	 9823.6	 0.129287	 0.062019	 0.0353	 0.0322	 0.1544	 0.1865	 0.6546	 0.5424	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
25/09/18 18:26:05	OT	VEGA           	 0.8192	 1.0408	10996.6	 9850.2	 0.212377	 0.107951	 0.0318	 0.0305	 0.1146	 0.1337	 0.8819	 0.7566	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:26:35	OT	VEGA           	 0.5384	 1.0403	11110.6	 9811.0	 0.105580	 0.053558	 0.0255	 0.0299	 0.1743	 0.2036	 0.5799	 0.4969	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:27:05	OT	VEGA           	 0.5471	 1.0399	11263.2	 9714.1	 0.095702	 0.062878	 0.0284	 0.0290	 0.1848	 0.1849	 0.5469	 0.5473	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:27:35	OT	VEGA           	 0.8226	 1.0395	11010.6	 9687.2	 0.204078	 0.114340	 0.0433	 0.0381	 0.1173	 0.1291	 0.8616	 0.7837	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:28:05	OT	VEGA           	 0.5086	 1.0391	11099.1	 9674.0	 0.104134	 0.043938	 0.0374	 0.0390	 0.1756	 0.2291	 0.5756	 0.4416	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
25/09/18 18:28:35	OT	VEGA           	 0.4808	 1.0387	10991.1	 9709.4	 0.090639	 0.042326	 0.0372	 0.0370	 0.1908	 0.2343	 0.5297	 0.4319	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
25/09/18 18:29:05	OT	VEGA           	 0.4911	 1.0383	11201.9	 9588.8	 0.080170	 0.052224	 0.0335	 0.0419	 0.2054	 0.2065	 0.4922	 0.4900	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:29:35	OT	VEGA           	 0.4875	 1.0380	11190.1	 9888.3	 0.088207	 0.045891	 0.0339	 0.0386	 0.1939	 0.2231	 0.5214	 0.4536	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:30:05	OT	VEGA           	 0.5194	 1.0376	11281.7	 9809.7	 0.102592	 0.048322	 0.0458	 0.0477	 0.1770	 0.2162	 0.5710	 0.4679	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
25/09/18 18:30:35	OT	VEGA           	 0.5529	 1.0372	10780.5	 9854.5	 0.094234	 0.065757	 0.0386	 0.0385	 0.1863	 0.1797	 0.5427	 0.5631	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:31:05	OT	VEGA           	 0.5658	 1.0368	11126.0	 9908.3	 0.103453	 0.064668	 0.0340	 0.0369	 0.1761	 0.1815	 0.5741	 0.5576	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:31:35	OT	VEGA           	 0.6342	 1.0364	10961.6	 9888.4	 0.124348	 0.078653	 0.0354	 0.0417	 0.1577	 0.1613	 0.6412	 0.6272	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:32:05	OT	VEGA           	 0.4336	 1.0361	11275.8	 9980.4	 0.071380	 0.038333	 0.0463	 0.0438	 0.2199	 0.2482	 0.4597	 0.4076	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:32:35	OT	VEGA           	 0.5293	 1.0357	11095.2	10036.2	 0.097885	 0.054405	 0.0415	 0.0442	 0.1819	 0.2012	 0.5557	 0.5030	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
25/09/18 18:33:05	OT	VEGA           	 0.4747	 1.0353	11224.1	 9700.6	 0.093100	 0.038687	 0.0511	 0.0467	 0.1874	 0.2468	 0.5393	 0.4100	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	    50
25/09/18 18:33:35	OT	VEGA           	 0.5675	 1.0350	10733.5	 9830.5	 0.115545	 0.057652	 0.0610	 0.0755	 0.1646	 0.1942	 0.6141	 0.5210	PixelFly	L1.5-	160x 60	1.0216	0.1400	0.0600	20	0	 5	150	 200	200	     0
