Fecha Hora	Ubicacion	Objeto	Seeing	Maire	Flujo 1	Flujo 2	Var l	Var t	Centelleo 1	Centelleo 2	r0l	r0t	fwhml	fwmlt	CCD	Software	Ventana	EscalaPlaca	Distancia	Diametro	WinSpot	Gain	Texp	Sampling	N	Muestras	Return	Pack
16/10/18 18:58:56	OT	Rasalhague	0.5911	1.1666	1559.9	1426.7	0.071989	0.114286	0.0000	0.0000	0.2104	0.1239	5.5531	9.4351	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_V4ZFYX_181016195823
16/10/18 18:59:57	OT	Rasalhague	0.4848	1.1666	1606.6	1398.7	0.093245	0.050900	0.0000	0.0000	0.1801	0.2014	6.4856	5.8074	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_BPAEPK_181016195925
16/10/18 19:00:54	OT	Rasalhague	0.6526	1.1666	1584.4	1474.0	0.121146	0.104830	0.0000	0.0000	0.1540	0.1305	7.5886	8.9586	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_JY6BDK_181016200021
16/10/18 19:06:04	OT	Vega	0.5795	1.0401	12651.1	10999.6	0.101952	0.067415	0.0000	0.0000	0.1708	0.1701	6.8424	6.8739	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_FZTHI6_181016200532
16/10/18 19:07:02	OT	Vega	0.4950	1.0401	12635.6	11069.1	0.083261	0.048714	0.0000	0.0000	0.1928	0.2067	6.0595	5.6564	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_7ZLJCN_181016200629
16/10/18 19:07:59	OT	Vega	0.5417	1.0401	12435.7	11149.9	0.086006	0.063668	0.0000	0.0000	0.1891	0.1761	6.1786	6.6421	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_5IAS6Z_181016200727
16/10/18 19:08:56	OT	Vega	0.5263	1.0401	12527.6	10945.6	0.095648	0.051824	0.0000	0.0000	0.1774	0.1992	6.5853	5.8704	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_WYZ918_181016200823
16/10/18 19:10:08	OT	Vega	0.6016	1.0401	12763.2	10999.7	0.113316	0.068646	0.0000	0.0000	0.1603	0.1683	7.2903	6.9489	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_5Q286O_181016200935
16/10/18 19:20:51	OT	Vega	0.4675	1.0534	12464.1	11050.9	0.065749	0.052107	0.0000	0.0000	0.2222	0.1986	5.2590	5.8896	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_3B05DH_181016202018
16/10/18 19:21:48	OT	Vega	0.5220	1.0534	12609.5	10878.1	0.086509	0.057523	0.0000	0.0000	0.1884	0.1871	6.2003	6.2496	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_PCYDOY_181016202115
16/10/18 19:22:45	OT	Vega	0.5075	1.0534	12461.8	10924.1	0.081743	0.055414	0.0000	0.0000	0.1950	0.1914	5.9930	6.1111	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_ZB14B4_181016202212
16/10/18 19:23:42	OT	Vega	0.5336	1.0534	12722.9	11168.5	0.077969	0.067834	0.0000	0.0000	0.2006	0.1695	5.8254	6.8995	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_ZHBE3X_181016202309
16/10/18 19:24:39	OT	Vega	0.5670	1.0534	12526.8	10998.4	0.102136	0.064162	0.0000	0.0000	0.1706	0.1753	6.8499	6.6729	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_BRCPQF_181016202406
16/10/18 19:25:37	OT	Vega	0.5334	1.0534	12788.6	11052.0	0.080105	0.066234	0.0000	0.0000	0.1973	0.1719	5.9207	6.8014	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_HNRIO4_181016202505
16/10/18 19:26:36	OT	Vega	0.4446	1.0534	12406.4	11131.4	0.063173	0.046054	0.0000	0.0000	0.2276	0.2138	5.1344	5.4691	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_XM9XSC_181016202603
16/10/18 19:27:35	OT	Vega	0.5259	1.0534	12556.5	11193.8	0.085913	0.059330	0.0000	0.0000	0.1892	0.1837	6.1746	6.3667	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_VN7RHA_181016202702
16/10/18 19:28:33	OT	Vega	0.5593	1.0534	12780.3	11114.2	0.094451	0.066271	0.0000	0.0000	0.1788	0.1719	6.5358	6.8037	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_XP9YYD_181016202800
16/10/18 19:29:33	OT	Vega	0.5945	1.0534	12864.9	10978.7	0.119750	0.063669	0.0000	0.0000	0.1550	0.1761	7.5360	6.6421	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_0I73HH_181016202900
16/10/18 19:30:31	OT	Vega	0.6163	1.0534	12550.6	10987.7	0.098015	0.087076	0.0000	0.0000	0.1748	0.1459	6.6826	8.0147	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_R1RKW4_181016202958
16/10/18 19:31:42	OT	Vega	0.6412	1.0534	12603.7	11027.7	0.105968	0.092086	0.0000	0.0000	0.1668	0.1411	7.0029	8.2883	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_QSUQYE_181016203109
16/10/18 19:32:43	OT	Vega	0.5333	1.0534	12638.0	10696.5	0.086488	0.061719	0.0000	0.0000	0.1885	0.1794	6.1994	6.5193	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_9YXDAS_181016203210
16/10/18 19:33:54	OT	Vega	0.5946	1.0534	12484.9	10773.9	0.120819	0.063073	0.0000	0.0000	0.1542	0.1771	7.5762	6.6047	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_8S08WF_181016203321
16/10/18 19:34:55	OT	Vega	0.5619	1.0534	12634.6	11092.2	0.097574	0.065170	0.0000	0.0000	0.1753	0.1736	6.6646	6.7356	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_JCWXAH_181016203422
16/10/18 19:35:53	OT	Vega	0.6584	1.0534	12434.8	11171.4	0.140882	0.076135	0.0000	0.0000	0.1406	0.1582	8.3078	7.3943	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_VM0NGM_181016203521
16/10/18 19:36:52	OT	Vega	0.7026	1.0534	12581.4	10919.2	0.167216	0.078824	0.0000	0.0000	0.1269	0.1549	9.2075	7.5499	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_QJMUQK_181016203619
16/10/18 19:38:03	OT	Vega	0.5317	1.0534	12583.9	10820.8	0.082001	0.064198	0.0000	0.0000	0.1946	0.1752	6.0043	6.6752	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_B3MNAE_181016203730
16/10/18 19:39:01	OT	Vega	0.6655	1.0534	12591.2	11055.6	0.143055	0.077737	0.0000	0.0000	0.1393	0.1562	8.3845	7.4873	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_YFE2FA_181016203828
16/10/18 19:40:01	OT	Vega	0.6224	1.0534	12240.9	11241.8	0.121656	0.073430	0.0000	0.0000	0.1536	0.1616	7.6077	7.2356	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_19JT4W_181016203928
16/10/18 19:40:59	OT	Vega	0.6081	1.0534	12758.8	11132.8	0.127607	0.064178	0.0000	0.0000	0.1492	0.1752	7.8289	6.6739	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_SRI8MP_181016204027
16/10/18 19:41:57	OT	Vega	0.5609	1.0534	12245.7	11031.1	0.113562	0.054904	0.0000	0.0000	0.1601	0.1924	7.2999	6.0773	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_U4DYA8_181016204124
16/10/18 19:43:42	OT	Vega	0.5773	1.0534	12659.0	10779.9	0.104760	0.066412	0.0000	0.0000	0.1680	0.1717	6.9549	6.8124	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_BOT9HJ_181016204310
16/10/18 19:44:40	OT	Vega	0.6729	1.0534	12436.2	11351.6	0.158135	0.071900	0.0000	0.0000	0.1312	0.1637	8.9041	7.1447	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_8T4Q8Z_181016204407
16/10/18 19:45:55	OT	Vega	0.5283	1.0534	12693.7	11271.8	0.098058	0.052495	0.0000	0.0000	0.1748	0.1977	6.6844	5.9159	PixelFly	L1.5-	160x60	1.0369	0	0	20	0	5	150	200	200	0	OT_SN6BEC_181016204522
